idnum,utmcode,lat,lon,alydic2002,alydic2015,alydic_p
2,29SMC58,38.7280273,-9.4710312,0,0,1.12E-14
3,29SMC59,38.7935905,-9.4767885,0,0,2.22E-14
4,29SMC68,38.7310486,-9.4041157,0,0,4.20E-14
5,29SMC69,38.8099289,-9.4063292,0,0,2.84E-14
6,29SMC77,38.657402,-9.2492819,0,0,1.30E-12
7,29SMC78,38.7272873,-9.2939882,0,0,5.79E-13
8,29SMC79,38.8113098,-9.289712,0,0,2.31E-13
9,29SMC85,38.453968,-9.1634836,0,0,9.41E-12
10,29SMC86,38.5428543,-9.1589155,0,0,5.90E-12
11,29SMC87,38.6283798,-9.1735916,0,0,3.85E-12
12,29SMC88,38.7266541,-9.1767273,0,0,5.84E-12
13,29SMC89,38.8106232,-9.1731901,0,0,3.01E-12
14,29SMC95,38.4690132,-9.0598927,0,0,5.95E-11
15,29SMC96,38.5374146,-9.0579805,0,0,2.83E-11
16,29SMC97,38.628067,-9.0556517,0,0,2.68E-11
17,29SMC98,38.7202835,-9.0474348,0,0,3.19E-11
18,29SMC99,38.8162766,-9.0963001,0,0,5.01E-12
19,29SMD60,38.8989449,-9.3902521,0,0,5.71E-15
20,29SMD61,38.9931297,-9.3835382,0,0,2.58E-15
21,29SMD62,39.0779457,-9.3814411,0,0,1.41E-15
22,29SMD63,39.1470222,-9.3632183,0,0,1.77E-15
23,29SMD65,39.3654404,-9.3758688,0,0,3.61E-16
24,29SMD70,38.9006615,-9.2908602,0,0,4.78E-14
25,29SMD71,38.9902039,-9.291852,0,0,1.55E-14
26,29SMD72,39.0808716,-9.2921457,0,0,7.07E-15
27,29SMD73,39.1721649,-9.2918396,0,0,3.26E-15
28,29SMD74,39.2641029,-9.2882986,0,0,2.05E-15
29,29SMD75,39.3487778,-9.2923145,0,0,7.61E-16
30,29SMD76,39.4119034,-9.2591105,0,0,4.00E-16
31,29SMD80,38.8999405,-9.1773481,0,0,6.30E-13
32,29SMD81,38.9898415,-9.176115,0,0,2.92E-13
33,29SMD82,39.0822029,-9.1750059,0,0,1.65E-13
34,29SMD83,39.1710358,-9.1766682,0,0,5.51E-14
35,29SMD84,39.2614517,-9.179966,0,0,1.54E-14
36,29SMD85,39.3536949,-9.1792488,0,0,3.47E-15
37,29SMD86,39.442627,-9.1686544,0,0,6.42E-16
38,29SMD87,39.5046577,-9.1507559,0,0,2.96E-16
39,29SMD90,38.9040413,-9.0673561,0,0,3.30E-12
40,29SMD91,38.9911041,-9.0598574,0,0,5.29E-12
41,29SMD92,39.0803719,-9.0613909,0,0,4.21E-12
42,29SMD93,39.1701965,-9.0620909,0,0,2.83E-12
43,29SMD94,39.2609634,-9.0603542,0,0,3.57E-13
44,29SMD95,39.3530655,-9.061861,0,0,4.88E-14
45,29SMD96,39.4429703,-9.0637045,0,0,8.45E-15
46,29SMD97,39.5302048,-9.0605745,0,0,2.07E-15
47,29SMD98,39.6232109,-9.0455923,0,0,1.07E-15
48,29SMD99,39.7115593,-9.0342255,0,0,4.95E-16
49,29SME90,39.78228,-9.0187836,0,0,2.70E-16
50,29SNA09,37.0214691,-8.93573,0,0,2.02E-11
