"cuadrID","cUTM10","utm10","LLU_1998","LLU98_P","cat","cat_","p_lontra34","a_lontra34","LLU_2008","survey2008","LLU98_D","Llu2015","lati","long","lonUTM","latUTM","lonMoll","latMoll","newpres"
1,"29SPB32","PB32",1,0.29637063457991,990,17386,0,0,0,0,1,1,37.2654877,-7.4180927,108144.628300899,4133550.43943769,-645207.615686825,4481515.7714676,NA
2,"29SPB33","PB33",0,0.320033022378382,991,17387,0,0,0,0,0.932838601004171,0,37.3372192,-7.4242678,107970.084900354,4141540.45842333,-645360.206079769,4489647.67530758,0
3,"29SPB34","PB34",1,0.317256425647062,992,17388,1,0,1,1,1,1,37.4379082,-7.4325418,107762.764323744,4152754.53460084,-645537.769935182,4501057.45112465,0
4,"29SPB35","PB35",1,0.309490011706809,993,17389,1,0,1,1,1,1,37.530674,-7.454237,106330.211821655,4163145.3188968,-646920.185771586,4511564.29412577,0
5,"29SPB36","PB36",0,0.346321103180389,994,17390,0,0,0,0,0.926035219878766,0,37.6100655,-7.4454842,107522.0680738,4171923.71008613,-645730.503424149,4520552.44228146,0
6,"29SPB37","PB37",1,0.425011781094666,995,17391,0,0,0,0,1,1,37.6931381,-7.4219565,110036.040143748,4181049.15080393,-643240.377719961,4529953.48334354,NA
8,"29SPB41","PB41",0,0.188573552071591,1062,17831,1,0,1,1,0.906542480722993,1,37.1866798,-7.3516297,113639.708384571,4124526.80889825,-639844.229787348,4472578.29160155,1
9,"29SPB42","PB42",0,0.216968533487797,1063,17832,1,0,1,1,0.938986547158368,1,37.2502365,-7.3549299,113671.591973487,4131596.7957318,-639794.756690464,4479786.43066689,1
10,"29SPB43","PB43",0,0.270555100132526,1064,17833,1,0,1,1,0.911798724526536,1,37.3423424,-7.3593502,113751.640725687,4141841.188198,-639689.941782785,4490228.35984598,1
11,"29SPB44","PB44",0,0.283040181622857,1065,17834,1,0,1,1,0.928557989967397,1,37.4330559,-7.3557563,114536.06013162,4151898.21919261,-638894.59575855,4500507.73503947,1
12,"29SPB45","PB45",0,0.287233878514975,1066,17835,0,0,0,0,0.909392443817593,1,37.5241585,-7.354815,115088.101552205,4162009.38222548,-638326.613373703,4510826.49534298,0
13,"29SPB46","PB46",0,0.320766954356402,1067,17836,1,0,1,1,0.913978380435879,1,37.6127052,-7.3524685,115751.842517035,4171831.05838343,-637649.318776728,4520851.22877285,1
14,"29SPB47","PB47",1,0.438330355782708,1068,17837,1,0,1,1,1,1,37.7068214,-7.3519225,116285.94748023,4182278.56332392,-637097.26426896,4531501.5965836,0
15,"29SPB48","PB48",1,0.586636795232077,1069,17838,0,0,0,0,1,1,37.7840767,-7.3292041,118687.53427892,4190763.18963148,-634714.542024834,4540240.16079119,NA
17,"29SPB51","PB51",0,0.196650781491721,1134,18256,0,1,0,1,0.950023912352242,0,37.1973572,-7.2611814,121727.623821712,4125346.5554327,-631916.319512563,4473789.40408411,0
