"utm10","Mmo2003","Mmo_P","Mmo_F","Mmo2015"
"BC47",0,0.38666403056519,0.950573083376695,0
"BC48",0,0.309223236076877,0.931768199864764,0
"BC49",0,0.31337999288617,0.932990589679715,0
"BC58",0,0.255914070331756,0.9129828431259,1
"BC59",1,0.247257348878853,0.909260005275106,1
"BD40",1,0.358712015322598,0.944641110907382,1
"BD50",1,0.264073791852626,0.916293899903643,1
"BE42",0,0.686281629553545,0.985236430128446,0
"BE43",1,0.578641830370635,0.976686361326875,1
"BE44",1,0.376626275564625,0.948535831151279,1
"BE45",0,0.263366579685099,0.916014121577013,0
"BE46",0,0.07999231707783,0.726209466376269,0
"BE47",0,0.0433939415661868,0.580506935431711,0
"BE48",0,0.0139521865481819,0.301504872877774,0
"BE49",0,0.00482276811205183,0.128796023101207,0
"BE53",0,0.592802113528463,0.977978920192645,0
"BE54",1,0.484267669703185,0.966267419695397,1
"BE55",0,0.389584505989081,0.951147682445237,0
"BE56",0,0.211010446064656,0.890813838608197,0
"BE57",0,0.0984851203186806,0.769192193963499,0
"BE58",0,0.0398318951168967,0.558600991636587,0
"BE59",0,0.00791870354136242,0.195816264827035,0
"BE65",0,0.471391963108612,0.964544217476865,0
"BE66",0,0.281587662600448,0.922822340491254,0
"BE67",0,0.161841769480952,0.854872393239088,0
"BE68",0,0.0906872969418711,0.752623722903387,0
"BE69",0,0.0358246368311536,0.53128139849524,0
"BE76",0,0.224530308306829,0.898299232650042,0
"BE77",0,0.220295282854196,0.896040121057021,0
"BE78",0,0.163099883455388,0.856015724551267,0
"BE79",0,0.103360988574831,0.778595592497769,0
"BE87",1,0.284405832773132,0.923805733667957,1
"BE88",0,0.203332395899447,0.886182952467287,0
"BE89",0,0.117724248105228,0.802780964981643,0
"BE99",0,0.0681055642560957,0.690352110033354,0
"BF40",0,0.00297020101469573,0.0833081918921952,0
"BF41",0,0.00209200024561022,0.0601084627358679,0
"BF42",0,0.00160681424202827,0.0467988598143513,0
"BF43",0,0.00187461080659178,0.0541896953741722,0
"BF44",0,0.00219207745394548,0.062809248392055,0
"BF45",0,0.00357383808174819,0.0986239555828026,0
"BF46",0,0.00711112585491415,0.179309663421525,0
"BF47",0,0.0113737430329309,0.259785768845126,0
"BF50",0,0.00402780934980949,0.109821067307095,0
"BF51",0,0.0022505380141333,0.0643800041716006,0
"BF52",0,0.00177814783315774,0.0515402310294573,0
"BF53",0,0.00269533027350174,0.0761665808027847,0
"BF54",0,0.00285649071669003,0.0803667609434745,0
"BF55",0,0.00469042754425254,0.125691423309769,0
"BF56",0,0.00874398111489363,0.212038616729162,0
"BF57",0,0.0143589154247639,0.307678580226834,0
